"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","ACCT-123","Financial Accounting Concepts",NA
"2","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","BUSN-119","Fundamental of Business",NA
"3","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","COMM-160/161","College Communication 1",NA
"4","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","COMP-106","Applied Business Software 1",NA
"5","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","MATH-128","Mathematics of Finance I - E",NA
"6","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","MKTG-116","Principles of Marketing",NA
"7","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","COMM-170/171","College Communication 2",NA
"8","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","COMP-126","Applied Business Software 2",NA
"9","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"10","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","HRMT-301","Human Resources Management",NA
"11","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","MATH-119","Mathematics of Finance II",NA
"12","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","MKTG-331","Marketing Communications",NA
"13","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","BUSN-333","Business Culture and Collaborative Practices",NA
"14","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","ECON-205","Principles of Microeconomics",NA
"15","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","GNED","General Education Elective",NA
"16","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","INTL-220","International Business Concepts",NA
"17","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","MKTG-222","Retailing",NA
"18","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","MKTG-223","Professional Selling",NA
"19","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","BUSN-313","Careers",NA
"20","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","ECON-206","Principles of Macroeconomics",NA
"21","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","GNED","General Education Elective",NA
"22","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","HRMT-300","Organizational Behaviour",NA
"23","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","MKTG-221","Practical Applications in Marketing",NA
"24","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","MKTG-224","Marketing Research",NA
"25","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/","MKTG-229","Digital Marketing",NA
"26","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"27","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"28","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"29","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"30","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"31","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"32","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"33","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"34","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"35","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"36","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"37","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"38","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"39","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"40","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"41","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"42","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"43","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"44","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"45","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"46","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"47","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"48","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"49","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"50","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"51","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"52","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"53","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
"54","Centennial College of Applied Arts and Technology","Business – Marketing","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing/",NA,NA,NA
